hour,count
0,11740
1,7637
2,4303
3,2566
4,2972
5,7806
6,24144
7,44993
8,67913
9,73355
10,81001
11,87532
12,96305
13,101832
14,109973
15,110726
16,104457
17,102555
18,92872
19,69526
20,47405
21,36781
22,30552
23,18610
